,Most Common KW,KW Freq,Bigrams,Bigram Freq
0,music,767,digital humanity,212.0
1,digital,612,art humanity,8.0
2,humanity,345,humanity research,10.0
3,artist,224,research project,8.0
4,project,220,research digital,6.0
5,company,206,university library,10.0
6,library,198,humanity digital,10.0
7,research,194,humanity project,8.0
8,show,190,digital archive,29.0
9,year,183,music group,54.0
10,work,174,music history,6.0
11,university,163,music company,40.0
12,one,162,record company,11.0
13,say,157,music service,9.0
14,history,157,music artist,7.0
15,u,146,digital music,7.0
16,collection,141,digital library,46.0
17,record,139,research library,6.0
18,world,137,digital collection,15.0
19,first,133,study digital,6.0
20,data,132,art library,6.0
21,archive,131,music library,9.0
22,group,131,show music,15.0
23,time,130,show began,46.0
24,song,122,music began,8.0
25,study,120,,
26,people,120,,
27,student,108,,
28,art,106,,
29,recording,101,,
30,service,97,,
31,community,96,,
32,way,96,,
33,million,93,,
34,began,93,,
