,tweet,Prediction,Score,Probability,Input Length,URL,Search KW
0,"Lady Vernon And Her Daughter [sound Recording] : [a Novel Of Jane Austin's Lady Susan]—Rubino, Jane.
2009
Book on CD | cd-spoken fiction
items: 3 | circs: 126 | last circ: 10/2021
austen jane 1775 1817 lady susan fiction,lady susan austen jane 1775 1817... https://t.co/JK6RI3bu1x",0,-0.0075873105786247175,0.49810318145489235,280,https://cincinnatilibrary.bibliocommons.com/v2/record/S170C2701997,"""sound recording"" -is:retweet"
1,"TAXI Member  has had songs signed to an A+ Music Library through a TAXI listing and forward! 

Click the link below to read more TAXI success stories!

https://t.co/D7mHBeglaZ https://t.co/CcDbMx1rKV",0,-0.008332624203114813,0.4979168560023872,199,http://bit.ly/2lIV3zz,"""music library"" -is:retweet"
2,"Angels We Have Heard On High(String Quartet)

A string quartet arrangement of Angels We Have Heard On High. Ideal for holiday caroling!

SHEET MUSIC

$4.99 https://t.co/ekO4Z67xn5",0,-0.013043352168557787,0.49673920818734335,179,https://is.gd/CvHY7U,"""sheet music"" -is:retweet"
3,"KuzhaliManickavel scours https://t.co/DsTsrXs95V for more weird music discoveries in her second column, landing upon ballads in English by Bollywood singer Mahendra Kapoor and Soviet-era jazz.
Read below
https://t.co/34IXL1RARj",0,-0.014835278882038672,0.4962912482994467,227,"http://Archive.org, https://rollingstoneindia.com/discovering-music-archive-org-with-kuzhali-manickavel-mahendra-kapoor-soviet-jazz/","""music archive"" -is:retweet"
4,foo_mediacontrol ~ Windows 10 Media Control Overlay https://t.co/FZld09chUi,0,-0.015108163430370414,0.49622303098531023,75,http://audio-file.org/2022/01/28/foo_mediacontrol-windows-10-media-control-overlay/,"""audio file"" -is:retweet"
5,"Touching The Sky [sound Recording]—Peterson, Tracie.
2012
Book on CD | cd-spoken fiction
items: 4 | circs: 128 | last circ: 8/2021
sisters fiction,frontier and pioneer life fiction,man woman relationships fiction,civil war 1861 1865 texas history fictio... https://t.co/94VP3dk9M7",0,-0.018333564137580027,0.4954167373419102,280,https://cincinnatilibrary.bibliocommons.com/v2/record/S170C2706243,"""sound recording"" -is:retweet"
6,"A MUST LISTEN for anyone involved in sound recording. 
https://t.co/7NfoM1T3Kk",0,-0.018802346076451537,0.4952995519584895,78,https://www.bbc.co.uk/sounds/play/b06tvgp1,"""sound recording"" -is:retweet"
7,"A new lawsuit against the pair alleges that it was “impossible that the infringing composition and sound recording were independently created"" https://t.co/pQB2MxQKlw",0,-0.018973642446169836,0.49525673168530043,166,http://ow.ly/st7F50IcpLb,"""sound recording"" -is:retweet"
8,"A new lawsuit against the pair alleges that it was “impossible that the infringing composition and sound recording were independently created"" https://t.co/S7uiDCQtx7",0,-0.018973642446169836,0.49525673168530043,166,http://ow.ly/fP5R50IcpKU,"""sound recording"" -is:retweet"
9,"A Long Way Gone [sound Recording] : [memoirs Of A Boy Soldier]—Beah, Ishmael, 1980-
2007
Book on CD | cd-spoken 966.404092 b365 zb 2007
items: 3 | circs: 233 | last circ: 1/2022
beah ishmael 1980,child soldiers sierra leone biography,sierra leone child ... https://t.co/NWyrANMd4u",0,-0.022284941582772,0.4944289951577941,280,https://cincinnatilibrary.bibliocommons.com/v2/record/S170C2564504,"""sound recording"" -is:retweet"
