tweet,Target,Source
"Telephone conversation 13427, sound recording, ARTHUR ...
 https://t.co/25zbvlkBGe › item › tel-13427
 Telephone conversation 13427, sound recording, ARTHUR KRIM and MAXINE CHESHIRE, 9/27/1968, time unknown ; Download (Right Click/Save As...): 187903-aud-tel-wh- ... https://t.co/Zku4S2C4aX",0,baseline test
"Npr Sound Treks. Animals [sound Recording].
 2010
 Book on CD | cd-spoken 791.44662 n961 a 2010
 items: 2 | circs: 41 | last circ: 7/2021
 animals,animal sounds,animal behavior,animal communication
 https://t.co/fTlrfVeuXm",0,baseline test
River Fox 2 Pieces CCTV Camera Mic Microphone for Audio/Sound Recording https://t.co/mol3iGuoFA,0,baseline test
"Hidden Camera Miota Spy Camera Wireless Security Nanny Cam with 1080P Full HD, WiFi, Night Vision, Motion Detection, Bluetooth Speaker,FM Radio,Cell Phone App,No Sound Recording Review https://t.co/ixS1xFWFUJ",0,baseline test
"Check out our Top 5 Microphones - from professional sound recording to streaming, we've got you covered 
 

 Link https://t.co/pmMti0jWo2 
 

 mic soundrecording streaming audio microphone techtips tech top5 gaming contentcreator voiceover sound",0,baseline test
"Three sisters [sound recording] : a novel / Heather Morris.
 https://t.co/KiTZp6fp1n https://t.co/8dFEL0yIOP",0,baseline test
"howtopodcast Neewer NW-13 Compact Microphone Isolation Shield+Tripod, Studio Mic Sound Absorbing Foam Reflector for Sound Recording,Podcasts https://t.co/UlnCzQWpTO https://t.co/0EsjsVAoNH",0,baseline test
"Wiktionary has a nice sound recording if you want to hear it pronounced:
 

 https://t.co/zZWFVarpUi",0,baseline test
"n-Track Studio 9.1.5 Build 5407
 

 n-Track Studio 9 transforms your PC into a simple to utilize multitrack sound recording studio. It is the ideal instrument for proficient quality sound recording, encoding, blending, and altering.
 Record, alter, overdub y… https://t.co/EhurSqkmRu",0,baseline test
"A wonderful performance by &amp; , great filming &amp; sound recording, the singing &amp; playing have such clarity &amp; never obscure the telling of a good story! BBC Four - Winter Journey: Schubert's Winterreise https://t.co/Hq1R6nVULm",0,baseline test
"Junie B., First Grader. Aloha-ha-ha! And Jingle Bells, Batman Smells (p.s. So Does May) [sound Recording]—Park, Barbara.
 2005
 Juvenile Book on CD | cdw 04990
 items: 10 | circs: 953 | last circ: 11/2021
 jones junie b fictitious character juvenile sound r... https://t.co/l9V9srBr2T",0,baseline test
"Aleph [sound Recording]—Coelho, Paulo.
 2011
 Book on CD | cd-spoken fiction
 items: 3 | circs: 100 | last circ: 11/2021
 self actualization psychology fiction,allegories
 https://t.co/Rb3obwOKWY",0,baseline test
"This Sun 3 Apr, our family-friendly afternoon event Mwalimu Express is back with live music from 
 Kadialy Kouyate's Sound Archive , master of the Kora. Join us for games, dancing, street food and live music!
 

 Book tickets &gt;https://t.co/WUum7niz9Z https://t.co/EH2GPR2cwg",0,baseline test
