Title,Description,URL
African American Historical Newspapers Online,"This guide provides a list of historical African American Newspapers available online as part of digitization projects at libraries and historical societies as well as digitization projects done by Google. The content is available for free, though it is at the discretion of the institution providing the content. The above tabs provide a listing of newspapers broken down by title and region. The boxes to the right provide titles limited to Cornell University users. Availability of Newspapers Many of these newspaper links do not contain the full print run of the paper, but what the digitizing institution has as part of their collection or what has been completed so far. Each newspaper's webpage provides specific information about what content they have available online, though every effort has been made in this guide to make clear what is available online.",https://guides.library.cornell.edu/aanewspapers/home
Zappa Books,The purpose of this site is to provide a little help to those that are looking for written material about Frank Zappa.,https://www.afka.net/index.htm
Folkstreams,"The films on Folkstreams were produced by independent filmmakers. These documentaries focus on the culture, struggles, and arts of unnoticed Americans from many different kinds of communities. The filmmakers were driven more by sheer engagement with the people and their traditions than by commercial hopes. Their films have unusual subjects, odd lengths, and talkers who do not speak ""broadcast English."" Although the films won prizes at festivals, were used in college classes, and occasionally were shown on PBS, they found few outlets in video shops, commercial theaters, or television. But they have permanent value. They come from the same intellectual movements that gave rise to American studies, regional and ethnic studies, the ""new history,"" ""performance theory,"" and investigations of tenacious cultural styles in phenomena like song, dance, storytelling, visual arts, worship, and ceremonies. They also respond to the intense political and social ferment of the last century and this one. Many of the films are linked to significant published research. Folkstreams draws on this material to accompany and illuminate both the subjects and the filmmaking. And the films themselves add powerful dimensions to print scholarship. They offer direct experience of unfamiliar worlds. Many of these worlds are now receding into the historical past. The mission of Folkstreams is to preserve these films and their records of these worlds and make them available to the widest possible audience.",https://www.folkstreams.net/
The Kirby Collection,"The Kirby Collection is a unique and irreplaceable pre-urbanization example of the musical heritage of Southern Africa. This is an internationally recognized collection and is an important research and educational resource, making a key contribution to the knowledge and understanding of musical traditions. The Kirby Collection is housed on the ground floor of the South African College of Music and is currently only available for research to University staff and students. Percival Kirby was an internationally acclaimed historian and musicologist and is regarded as a pioneer in the field of South African musicology. He arrived in South Africa from Scotland in 1914. As Musical Organiser to the Natal Education Department from 1914 to 1921 he became aware that the music of many local communities was disappearing under western influence. In the early 1930s, while Professor of Music at the University of the Witwatersrand, he undertook a comprehensive study of the musical practices of South African people and built up an extensive and valuable collection of musical instruments through field trips and donations. This collection and his research became the basis of his book The Musical Instruments of the Native Races of South Africa (publisher Oxford University Press, 1934). This book still remains the standard reference on the subject. The Collection comprises more than 600 musical instruments, the majority of which were used in Southern Africa prior to 1934. It includes instruments made and played by all indigenous Southern African groups. It also includes a smaller collection of instruments from Western Europe and from Asia for comparative purposes. The Collection was assembled before the rapid increase of urbanization in South Africa, but even during the field trips Professor Kirby undertook in the 1930s to study the musical practices of South African people and to observe how the instruments were played and how they were made, he became very aware that these instruments were becoming obsolete. In the preface to the 2nd edition of his book Kirby explained that a typical example of this was the Venda mbila. The craftsmen who made the mbila and the musicians who played it had all died and as they were unable to train successors the instrument was no longer being made and is now extinct. On a trip to Bechuanaland in 1931 to hear the Tswana reed flutes he stated that it took considerable trouble to organize a group of 23 players because performances had to take place out of sight as the missionaries regarded these dances as ""heathen"". In his autobiography Wits End (publisher Howard Timmins, 1967) Professor Kirby stated that in the future it would no longer be possible to write such a book as the impact of foreign influences had caused many of the instruments to become obsolete. It is these instruments that make up the greatest part of his collection.",http://www.sacm.uct.ac.za/sacm/kirbycollection
Ethnologisches Museum,"The Ethnologisches Museum (Ethnological Museum) evolved from the collections of the royal cabinets of art and since its foundation in 1873 has become one of the largest and most significant collections of its kind worldwide.  The museum's holdings comprise approximately 500,000 ethnographic, archaeological and historico-cultural objects from Africa, Asia, America and Oceania. They are complemented by some 500,000 media (ethonological photographs, films, audio recordings) and about 200,000 pages of written documents. Many of its collections are among the most extensive and valuable in existence. ",https://www.smb.museum/en/museums-institutions/ethnologisches-museum/collection-research/about-the-collection/
Phonogrammarchiv,"The Phonogrammarchiv was founded in 1899. Its key tasks are to generate, collect and catalogue audio-visual research recordings from all disciplines and regions, to preserve them in the long term, and to make them permanently available. In archiving, the Phonogrammarchiv pays particular attention to the source-critical annotation of the recorded materials, as this provides the added value ensuring the possibility of multi-faceted modes of analysis. The Phonogrammarchiv has built up, and expands, its holdings through field research projects that have received its methodological and technical support, through fieldwork conducted by its staff, and by taking over collections assembled by Austrian scholars, typically all exploring new ground. Likewise, the Phonogrammarchiv has always been engaged in methodological and technical developments pertaining to the making, replaying, and storing of audio and video recordings, which also led to today’s expertise in making playable, transferring and digitizing historical sound carriers. Access to the Phonogrammarchiv’s collections is also promoted by publications and specific editions of recordings (e.g. TheComplete Historical Collections 1899–1950). The Phonogrammarchiv is therefore characterized by its interlocking fields of activity, which fact is reflected also by the interdisciplinary composition of its team (African studies, history, ethnomusicology, cultural and social anthropology, linguistics, AV technology, IT). In accordance with its agenda, the Phonogrammarchiv is thus a research institute anchored in the scholarly world as well as an archive serving general societal interests that greatly contributes to the documentation and preservation of cultural heritage.",https://www.oeaw.ac.at/en/phonogrammarchiv/phonogrammarchiv/mission-statement
The Archive of Folk Culture,"The American Folklife Center provides online access to selected portions of our collections. Online content may include audio samples of music and stories, digital images of rare letters and photographs, and video clips. The Archive of Folk Culture mainly consists of the collections of the American Folklife Center. It was originally founded as the Archive of American Folk Song at the Library in 1928. In 1978 it became part of the American Folklife Center and was subsequently renamed the Archive of Folk Culture. Today the Archive includes more than six million photographs, manuscripts, audio recordings, and moving images. It consists of documentation of traditional culture from all around the world including the earliest field recordings made in the 1890s on wax cylinder through recordings made using digital technology. It is America's first national archive of traditional life, and one of the oldest and largest of such repositories in the world.",https://www.loc.gov/folklife/onlinecollections.html
American Radio Archives,"The American Radio Archives (ARA) is one of the largest collections of archival material documenting the history of radio in the United States. Its more than 50 collections include the papers of important figures in the history of radio like Norman Corwin and Rudy Vallée, as well as the Pacific Pioneer Broadcasters Collection with its thousands of radio scripts and transcription discs.",https://www.library.ucsb.edu/american-radio-archives
Arabic Music Archives,"Here is where you can find all the Classical, Traditional and rare musical recordings from all around the Middle East and North Africa .  We can record your favorite music and songs, Audio and Video, in an MP3 and MPEG Formats on several different media.  CD-ROMs, Audio/Video DVDs and Flash Memory Cards. Without much exageration, this web site has one of the most extensive collection of Classical and Traditional Arabic Music.  Be it old or contemporary music, we have it all.  We have included history of the lives of most of the Arabic musicians, singers and composers, as well as the history of many of the influential personalities of old. Audio and Video music of many of the Arabic singers, and music of the many regions of the area is available for duplication on different media. Its ideal for music students and lovers of Classical and Traditional Arabic to build a personal library. The music is duplicated in MP3 format, and is priced very reasonably.  So, please browse this web site, enjoy the audio and video music samples and click on the Order Forms pages to enquire about the very affordable duplication prices.",http://www.arabicmusicarchives.com/
Armenian Sound Archive,"The following are selections from the museum's roughly 3000 disc collection of early Armenian recordings and musical ephemera. Explore the links below to listen to songs, learn about pivotal musicians and see images of original records. The Armenian Museum of America is the largest Armenian Museum in the Diaspora. It has grown into a major repository for all forms of Armenian material culture that illustrate the creative endeavors of the Armenian people over the centuries. Today, the Museum’s collections hold more than 25,000 artifacts including 5,000 ancient and medieval Armenian coins, 1,000 stamps and maps, 3,000 textiles, and 180 Armenian inscribed rugs. In addition to more than 30,000 books in the Research Library, there is an extensive collection of Urartian and religious artifacts, ceramics, medieval illuminations, and various other objects. The collection includes historically significant objects, including five of the Armenian Bibles printed in Amsterdam in 1666.",https://www.armenianmuseum.org/sound-archive
Digital Library of Appalachia,The Digital Library of Appalachia provides online access to archival and historical materials related to the culture of the southern and central Appalachian region. The contents of the DLA are drawn from special collections of Appalachian College Association member libraries.,https://dla.acaweb.org/
Orwig Music Library at Brown University,The Orwig Music Library collections include materials on all aspects of music to support the Music Department curriculum and to provide material for general use by the Brown community.,https://library.brown.edu/about/orwig/collections.php
ASU Sheet Music Collection,"The Sheet Music Collection consists of approximately 30,000 pieces of uncataloged sheet music ranging from the late 1800s through the 1980s. Pre-1927 titles will be made available in digital format. The sheet music in the digital repository is presented as part of the historical record. The topics, illustrations, and language reflect the attitudes and beliefs of earlier times. Arizona State University does not endorse the views expressed in these materials that may contain images and text that are offensive to some users.",https://prism.lib.asu.edu/collections/177
Cancioneros,"CANCIONEROS.COM is the digital newspaper dedicated to author music with the most visits in the world. This and the rigor that we imprint on each of our projects has positioned us as the Internet reference for author music. At CANCIONEROS.COM we understand the concept of ""signature music"" as that which, through good music, good interpretation and —especially— good lyrics, aims to transcend beyond the pure consumer product. Thus, we not only include the traditional singer-songwriter in the orthodox sense of the word, but also rock, pop, jazz and folk music that meets the aforementioned conditions in a very broad, transversal and universal vision of the world of Trova. CANCIONEROS.COM was born in 1998 as a digital portal where discographies and songbooks were developed with scientific rigor. Once the initial objectives were overcome, the contents were enriched and diversified —taking advantage of the synergies that the digital environment allows—, and the network of collaborators that today covers the entire environment of the Spanish-speaking countries was extended.",https://www.cancioneros.com/
Latin American Music Center at Indiana University,"The Latin American Music Center collection is comprised of thousands of items and includes rare manuscripts, published scores, colonial music anthologies, sound recordings, books, dissertations, periodicals, microfilms, and miscellaneous documents such as letters and photographs. Important private collections have also been donated to the LAMC.",https://lamc.indiana.edu/archives_special_collections/index.html
Electronic Musicological Review,"The Electronic Musicological Review is a yearly peer-reviewed scholarly journal. Its main goal is to foster research in the fields of Brazilian music, music technology and critical (or ""new"") musicology. EMR is hosted by the arts department of the Federal University of Paraná (UFPR).",http://www.rem.ufpr.br
Digital Library of the Caribbean,"Founded in 2004, the Digital Library of the Caribbean (dLOC) has grown to over 70 Partners and Associate Partners in the United States, the Caribbean, Canada, and Europe. dLOC's multi-institutional collaborative model is bolstered by a democratic governance structure which allows for all partner institutions to contribute to dLOC's evolution and success. Please read about dLOC and its mission on the governance site. dLOC is a cooperative of Partners within the Caribbean and circum-Caribbean that provides users with access to Caribbean cultural, historical and research materials held in archives, libraries, and private collections. dLOC comprises collections that speak to the similarities and differences in histories, cultures, languages and governmental systems. Types of collections include but are not limited to: newspapers, archives of Caribbean leaders and governments, official documents, documentation and numeric data for ecosystems, scientific scholarship, historic and contemporary maps, oral and popular histories, travel accounts, literature and poetry, musical expressions, and artifacts.",https://www.dloc.com
Chatham Music Archive,"The Chatham Music Archive began in 2004 hosted on geocites.  It was revamped in 2009 on word press. The Archive is researched, updated and run by Shawn Beaulieu with the help of our great local musical community. The archive documents bands from Chatham. ",https://demokidblog.wordpress.com/
CCNY Music Library,"The Music Library, located on the second floor of Shepard Hall, contains materials related to the study of music, sound and culture. The collection primarily supports academic programs in the Department of Music and Division of Humanities & Arts, but library resources are available to all interested patrons. The Library contains over 17,000 scores, 12,000 books,15,000 sound recordings and video recordings in multiple formats. Particular strengths include materials supporting studies in ethnomusicology, scholarly score editions and jazz recordings.",https://library.ccny.cuny.edu/musiclibrary
The Cylinder Archive,Online archive dedicated to the history and preservation of phonograph recordings. Includes audio stored via the Internet Archive. ,https://www.cylinder.de/
Dartmouth Jewish Sound Archive,"The Dartmouth Jewish Sound Archive was established in 2002 as a repository of sound recordings for researchers and students. You will find here a rich array of recordings, some of them rare, dating back to the early 1900s. Our database includes sound files, scanned images of record covers and labels, and details of the recordings and their contents. ",https://djsa.dartmouth.edu/
