Title,Primary Subject,Secondary Subjects,URL,URL 2,Description,Online Accessibility,Language
MARIAN ANDERSON ARCHIVE: THE ARTIST ON THE WORLD STAGE,Classical,"Opera, Philadelphia",https://mariananderson.exhibits.library.upenn.edu/home ,,"Philadelphia born contralto singer Marian Anderson is celebrated in The University of Pennsylvania's digitized collection of programs, diaries, interviews, photos, and recordings spanning her lifetime. The collection highlights Anderson’s history as a Black performer in Europe and America through the first half of the 20th century.
The Marian Anderson Collection is available to the public through UPenn’s Colenda Digital Repository.",Full,EN
THE OPERA DATABASE,Classical,Opera,http://theoperadatabase.com/ ,,"The Opera Database is a comprehensive database of operas and arias. Arias are catalogued and feature PDFs from Public Domain sources. It’s also a repository for operatic information, including libretti, scores, translations, and synopses. ",Full,EN
SFCM ORAL HISTORY PROJECT,Classical,,https://sfcm.edu/student-resources/library/archives/oral-history-project ,,"The San Francisco Conservatory of Music’s Oral History Project has the goal of seeking out and collecting memories of historical significance to the Conservatory through recorded interviews with members of the Conservatory's community, which are then preserved, transcribed, and made available to the public. Among the narrators are former administrators, faculty members, trustees, alumni, and family of former Conservatory luminaries. ",Full,EN
LIBRARY OF CONGRESS PERFORMING ARTS RESEARCH GUIDES,Classical,"Jazz, Film Scoring",https://guides.loc.gov/performing-arts ,,"Guides to Library of Congress holdings organized thematically under 12 primary subjects including American Popular Culture, African American Studies, Recorded Sound, Music and Performing Arts. The music-related guides are primarily focused on jazz and classical as well as African American music and film music. ",Full,EN
YALE’S ORAL HISTORY OF AMERICAN MUSIC,Classical,Jazz,https://guides.library.yale.edu/oham/collectionsguide/home,,"Founded in 1969, the Oral History of American Music (OHAM) at Yale is a collection of audio and video interviews with major figures in American classical and jazz music. Alongside the core collection of over 1,000 interviews with composers, performers, and other notable musicians, OHAM also has collections focused on an in-depth investigation of individual figures or moments in time. Some of these collections include an oral history of Aaron Copland, Steinway & Sons, Duke Ellington, and a collection of Zoom interviews with musicians during the COVID-19 pandemic.",Full,EN
DRAM ,Classical (Modern),Experimental Electronic,http://www.dramonline.org/ ,,"DRAM is a not-for-profit resource providing educational communities with on-demand streaming access to CD-quality audio (192kbps Mp4), complete original liner notes and essays from independent record labels and sound archives. Continuing in the tradition of DRAM's sister company New World Records, the primary focus is the preservation and dissemination of important recordings that have been neglected by the commercial marketplace, recordings that may otherwise become lost or forgotten. 

The touchstone of the DRAM collection is the diverse catalogue of American music represented by the New World Records and CRI label(s), which merged in 2007. From folk to opera, Native American to jazz, 19th century classical to early rock, musical theater, contemporary, electronic and beyond, New World has served composers, artists, students and the general public since its inception in 1975 with a grant from the Rockefeller Foundation. 

The acquisition of CRI deepened its catalog of contemporary American composition and restored to circulation recordings that had, in some cases, been out of print for decades. DRAM also includes music from a growing number of recording labels and archives. More than 4,000 albums' worth of recordings from a distinctive set of 42 independent labels and archives are now available, with new content being continuously added. ",Partial,EN
COUNTRY MUSIC HALL OF FAME,Country,"Bluegrass, Folk",https://digi.countrymusichalloffame.org/,,"Chartered in 1964, The Country Music Hall of Fame and Museum houses the largest collection of country music artifacts in the world. The museum has prioritized the digitization of fragile photos, audio on acetate discs, videos, show posters, and magazines. Also available in the digital collection are vast arrays of song manuscripts, fan letters, sheet music, radio broadcasts, and photos of notable clothing, instruments, and other objects belonging to country music icons.
Notable magazines within the collection include Academy of Country & Western Music, Bluegrass Central, Country & Western Jamboree, Journal of Country Music, and more. The Country Music Hall of Fame is also home to over a thousand archived episodes of the Grand Ole Opry dating back to the 1940s.",Full,EN
SAM KINDRICK PAPERS,Country,Texas,https://www.thewittliffcollections.txstate.edu/research/a-z/Kindrick.html ,,"The papers of reporter, photographer, and publisher, Sam Kindrick, span 1934-2018, and are arranged into three series: Photographs, Kindrick’s Personal Papers, and Action Magazine. The bulk of the collection relates to Action Magazine, a monthly newspaper Kindrick launched in 1975 and which was key in its documentation of the San Antonio and Texas redneck rock and country scene. Included are approximately 4,000 photographs from the publication, and a near-complete run of the paper. Kindrick’s personal papers also include copies of his column from the San Antonio Express News, 1968-1974. ",Partial,EN
WSM RADIO,Country,Nashville,https://wsmradio.com/archives/,,"Home to the world’s longest running radio program, the Grand Ole Opry, WSM Radio provides extensive archives of their more contemporary radio programming, interview series, and live performances. The WSM Archive also features special audio from the CMA Awards, MerleFest, CMA Festival, and tribute concerts.",Full,EN
ANALOGUE MUSIC SYNTHESIZER ORAL HISTORY COLLECTION,Electronic Music,,https://sova.si.edu/record/NMAH.AC.0640 ,,"This collection consists of over 30 hours of 7"" open reel-to-reel master tapes, compact discs (DVDs), and transcripts for oral histories documenting the invention and development of the analogue music synthesizer. The Jerome and Dorothy Lemelson Center for the Study of Invention and Innovation, in cooperation with Trevor Pinch and Frank Trocco of Cornell University, conducted oral histories to document the pioneering engineers and musicians of the electronic music synthesizer from 1960 to 1970. Pinch and Trocco authored Analog Days: The Invention and Impact of the Moog Synthesizer by Harvard University Press in 2002. This book is based on the oral histories from the Analogue Music Synthesizer Oral History Project.",Catalogue only,EN
