user,created_at,lang,like_count,quote_count,reply_count,retweet_count,tweet,URL
on_your_side_p,2022-04-29 23:54:54+00:00,und,1,0,0,0, https://t.co/2kQF12fhz1,https://gibson.jp/archive-collection-theodore
ikaramoon,2022-04-29 23:50:50+00:00,ja,0,0,0,0,"遊戯王OCGデュエルモンスターズの名シーン大集合カード

HISTORY ARCHIVE COLLECTION(ヒストリーアーカイブコレクション) BOXだね

初代からヴレインズまで大量収録
再入荷でも売り切れるかわからないから買っちゃうか悩む

https://t.co/AcrlWK5CeJ

マスターデュエルも導入だ",https://amzn.to/3KMdOcR
TOKYOaraato,2022-04-29 23:41:11+00:00,ja,0,0,0,0,遊戯王OCGデュエルモンスターズ HISTORY ARCHIVE COLLECTION BOX CG1782 https://t.co/PlUOqwjDh2,https://amzn.to/3r2m5BV
7hIbax,2022-04-29 23:40:30+00:00,ja,0,0,0,0,"予約商品 遊戯王 HISTORY ARCHIVE COLLECTION BOX 
ヒストリーアーカイブコレクション
楽天で定価ではないですが7798円で発売
意外と人気
https://t.co/XeBfyNclHj

TSUTAYA GEO ヨドバシ ビックカメラ トレカ power of the elements 入荷 買取 再販 フラゲ カオスソルジャー ブラックマジシャン",https://a.r10.to/hM0ZbV
9KzEjrpFDQWJOIr,2022-04-29 23:28:39+00:00,ja,0,0,0,0,"予約商品 遊戯王 HISTORY ARCHIVE COLLECTION BOX 
ヒストリーアーカイブコレクション
7780円

https://t.co/VEgoRl2kon

TSUTAYA GEO ヨドバシ ビックカメラ トレカ シークレットシャイニーボックス フラゲ カオスソルジャー フラゲ ブラックマジシャンガール",https://a.r10.to/hw7WXi
9KzEjrpFDQWJOIr,2022-04-29 23:28:29+00:00,ja,0,0,0,0,"予約商品 遊戯王 HISTORY ARCHIVE COLLECTION BOX 
ヒストリーアーカイブコレクション
7400円でかえます

https://t.co/OYzAMv5BMc

TSUTAYA GEO ヨドバシ  シークレットシャイニーボックス  フラゲ 買取 入荷 予約 在庫
プリズマティックアートコレクション 
タクティカルマスターズ アーコレ",https://a.r10.to/hwi3Fm
hirodayo11,2022-04-29 23:25:04+00:00,ja,0,0,0,0,"遊戯王OCGデュエルモンスターズ HISTORY ARCHIVE COLLECTION BOX
https://t.co/n4rQ3V7L4n

ヒストリーアーカイブコレクション
遊戯王 遊戯王OCG 
ポケカ 
再販 予約 入荷 抽選 
Amazon 相互フォロー
フォロバ 拡散希望
08: 25:04",https://amzn.to/3CSDBgd
e08hHmOadsmSG9H,2022-04-29 23:24:28+00:00,ja,0,0,0,0,"予約商品 遊戯王 HISTORY ARCHIVE COLLECTION BOX 
ヒストリーアーカイブコレクション
楽天で7780円

https://t.co/ciHaJC15U8

TSUTAYA GEO ヨドバシ ビックカメラ トレカ シークレットシャイニーボックス フラゲ カオスソルジャー フラゲ ブラックマジシャンガール",https://a.r10.to/hw7WXi
QJejGZFuZp1gcxO,2022-04-29 23:21:11+00:00,ja,0,0,0,0,"Amazon 今話題のズバり商品をご紹介！

遊戯王OCGデュエルモンスターズ HISTORY ARCHIVE COLLECTION BOX CG1782 遊戯王カード

シリーズの名シーンや印象深いシーンを
想起させるカードを収録した豪華スペシャルパック！
https://t.co/Nd2ZjOR3ww",https://amzn.to/3IMnQbL
oppopress,2022-04-29 23:12:39+00:00,ja,0,0,0,0,"遊戯王OCGデュエルモンスターズ HISTORY ARCHIVE COLLECTION BOX
https://t.co/eD41sQ82nZ

ヒストリーアーカイブコレクション
遊戯王 遊戯王OCG 
ポケカ 
再販 予約 入荷 抽選 
Amazon 相互フォロー
フォロバ 拡散希望
08: 12:39",https://amzn.to/3CSDBgd
SuzyQVintage,2022-04-29 22:58:29+00:00,en,5,0,0,6,"Excited to share this item from my #etsy shop: Vintage The Spode Archive Collection ""Seasons"" Victorian Series China Plate in Cranberry, Spode Archive Collection Redware Plate https://t.co/jzFzwIwN9z https://t.co/mmQm8gIe2t",https://etsy.me/3KC98W4
SuzyQVintage,2022-04-29 22:58:13+00:00,en,6,0,0,6,"Excited to share this item from my #etsy shop: Vintage The Spode Archive Collection ""Continental Views"" Victorian Series China Plate in Cranberry, Spode Archive Collection Redware Plate https://t.co/japff07hYU https://t.co/siTrXANcxp",https://etsy.me/3Kzk5HI
TOKYOaraato,2022-04-29 22:50:58+00:00,ja,0,0,0,0,遊戯王OCG デュエルモンスターズ HISTORY ARCHIVE COLLECTION　ヒストリー・アーカイブ・コレクション　コナミ　カードゲーム デッキ [楽天] https://t.co/vhCcMiB8AT,https://a.r10.to/hUPjPX
