user,tweet id,created_at,lang,like_count,quote_count,reply_count,retweet_count,tweet,URL
BestofProg,1530627315973111808,2022-05-28 19:09:24+00:00,en,1,0,0,0,Not typical prog but very interesting and beautiful music! #Archive #CallToArmsAndAngels #TheFalseFoundation #PIAS @archiveofficial @PiasFrance https://t.co/c61od1qnws,
PodcastDawn,1530622164361256960,2022-05-28 18:48:56+00:00,en,1,0,0,0,"Our theme song is ""The Incredible Shrinking Larry"" by Matt Oakley and ""Big Band Jingle A"" is by Lobo Loco, both on the Free Music Archive.
If you like our show, tell a friend, rate &amp; review on your podcast app of choice, and come say hi on Facebook, Twitter, Tumblr or Instagram!",
taliahwh,1530583742871441408,2022-05-28 16:16:15+00:00,en,0,0,0,0,YouTube is cool bc I like to see how other people live. Also you can learn literally anything. And don’t get me started with the live music archive.,
monkjaz,1530549557909721088,2022-05-28 14:00:25+00:00,en,3,0,0,0,"[UNRELEASED RECORDINGS]... This collection of Ellingtonia features mostly previously unreleased material from two sources: the Sun Ra Music Archive, maintained by Michael D. Anderson, and the Experimental Sound Studio (ESS)  https://t.co/jkCczyCX4T https://t.co/YMAnwgRMUY",https://wp.me/pd2HnU-13q
AdinaMorgenste1,1530543838049161217,2022-05-28 13:37:41+00:00,en,4,0,1,0,"Download and listen online amir tataloo new songs. best mp3 music archive of tataloo hip hop singer

https://t.co/Mr5uKzWV7a",https://tataloo.in/
fuzzybluerain,1530533857816358914,2022-05-28 12:58:02+00:00,en,1,0,0,0,"also i'm mad because someone asked people not to share their mogwai tape out (because they could do it themselves), but they're a live music archive band and it's been like a week",
ToastBitch123,1530327903983894528,2022-05-27 23:19:39+00:00,en,4,0,1,1,i made a rare music archive page :D. rn only 1 album on there but more to come! https://t.co/pTBTGC70tB,https://soundcloud.app.goo.gl/3sVg1icqRW5jaGJPA
arimasbootie,1530299830593110019,2022-05-27 21:28:05+00:00,en,1,0,0,0,What if I make a music thread or various playlists from my old music archive I recently dug up...heh,
ssarsora99,1530243638197985281,2022-05-27 17:44:48+00:00,und,0,0,1,0," وهناك مواقع أخرى لتحميل الموسيقى والمؤثرات أيضا مثل: 
موقع Incompetech
موقع  Film music io
موقع Free music archive",
Artist3d,1530230973094240256,2022-05-27 16:54:28+00:00,en,2,0,0,0,"Very excited 10 minutes to blastoff… 2 hour airing of selected pieces of my music archive put together by my wonderful friend and music archivist John Nicol of Obladada… will post link at 10 am pst, …",
Coolness941,1530217127344586752,2022-05-27 15:59:27+00:00,en,23,0,0,2,"Black Music Archive said if you imitate the opening line of ‘He Wasn’t Man Enough’, you’ll notice your abdominal muscles tighten up. Toni’s style of singing essentially made her do mini core exercises lol.",
DraikenTalkos,1530210020797091840,2022-05-27 15:31:13+00:00,en,0,0,1,0,"Not gonna lie, I dug through my music archive for this one because I've never heard it before. Catchy theme though.

Tokusatsu Heardle #48

#TokusatsuHeardle
https://t.co/1TWf6gldor",https://tokusatsu-heardle.glitch.me/
TheEdRadioShow,1530205744632676353,2022-05-27 15:14:14+00:00,en,0,0,0,0,"2 of 2
He went back to our music archive and found it!
https://t.co/00Oco43Iuv",https://www.youtube.com/watch?v=IHoP1km1nd0
bennettscience,1530204128311398400,2022-05-27 15:07:48+00:00,en,0,0,0,0,Many minutes will be spent on the Free Music Archive today as a result.,
brummusicpics,1530119468847927296,2022-05-27 09:31:24+00:00,en,7,0,0,2,#ItsABrumTing every day at Birmingham Music Archive but today even more so! Test presses arrived! #OnRecord #B2022Festival @FriendlyFireBan https://t.co/JCXoeUa6EV,
TradMusicForum,1530102676989550593,2022-05-27 08:24:40+00:00,en,2,1,0,4," Join us from 10am on Sat 11th June @ScotStoryCentre and online for a conference to explore the possibilities for a Scottish Traditional Music Archive.

This event is free but you must book your space in advance, even if you are joining us online.

https://t.co/LhlTA4Q9FR https://t.co/vm9shbxWX7",https://scottishstorytellingcentre.online.red61.co.uk/event/913:4129/913:16073/
FromBrazier,1530073219973136384,2022-05-27 06:27:37+00:00,en,4,0,1,1,"My blog article of #everfree includes my latest drawing of #hide. 
#hidewithspreadbeaver, @Pukapyu, @area014, @Chirolyn_1965, @JOE_44magnum, @kiyoshi_freeman  
Music Archive, Part XIX ~ hide with Spread Beaver: ever free (Universal Victor, 1998) https://t.co/zyCuXbXO6s",https://talesfromthebraziersgrotto.wordpress.com/2022/05/27/music-archive-part-xix-hide-with-spread-beaver-ever-free-universal-victor-1998/
Littlespoon78,1530021920237821973,2022-05-27 03:03:46+00:00,en,0,0,0,0,Check out Music Archive's video! #TikTok https://t.co/DPlfEC9Owi,https://www.tiktok.com/t/ZTdW5hEwH/?k=1
FHenicke,1529880753848426497,2022-05-26 17:42:50+00:00,en,0,0,0,0,My song BluesTown USA played on this Radio New Music station. It starts at 31:33. Krank it up and go to BluesTown USA.  New Music Archive WBCQ Radio Angela 5130 kHz https://t.co/Hxm7DYBklz via @YouTube,https://youtu.be/3fDCemxizJ8
billbones80,1529862333241204746,2022-05-26 16:29:38+00:00,en,0,0,1,0,"@thedevilstuna They've started doing it with some of the music archive, but I agree. Issue is BBC2 is meant to be more mainstream so some of the output will never be commissioned/air there. It's sad.",
eloquentalias,1529853004408422401,2022-05-26 15:52:34+00:00,en,2,0,0,0,@headfangs oh is that x music archive that channel Whips i listen to their playlists at work regularly lol,
fogelnet,1529845378563993600,2022-05-26 15:22:16+00:00,en,0,0,0,0,"Grateful Dead from Thu, May 26, 1977 at Baltimore Civic Center on Live Music Archive! https://t.co/qYrjSuG2LI",https://livemusicarchive.app/music/artists/GratefulDead/recordings/gd77-05-26.sbd.sacks.3224.sbeok.shnf
blazey_blaze,1529840457211158528,2022-05-26 15:02:42+00:00,en,105,0,1,17,"Blessed earthstrong to the LEGEND that is Lauryn Hill, a musician who educated the world through her own miseducation. There were about 10 people who were part of THAT album who had a reggae background.

Photo: Chris Lopez—Sony Music Archive/Getty Images (London February 5, 1999) https://t.co/j8CUnM65th",
k_popjourney,1529636205821935617,2022-05-26 01:31:05+00:00,ko,0,0,1,0,"&lt; 선곡표: SB3 E02 - 2022/05/25 &gt; (Indie Music) - Archive Show
1. 혁오 - Hooka
2. 국카스텐 - 붉은 밭
3. 갤럭시 익스프레스 - Jungle The Black
4. 크라잉넛 - 말달리자 (1996)
5. 서울문 - 우리들의 지난 여름밤
6. 선우정아 - 비온다
7. 415 (사이로) - 야광별
8. 장미여관 - 내 스타일 아냐",
k_popjourney,1529553353197371393,2022-05-25 20:01:51+00:00,en,0,0,1,0,"&lt; Playlist: SB3 E02 - 25 May 2022 &gt; (Indie Music) - Archive Show
1. HYUKOH - Hooka
2. Guckkasten - Red
3. Galaxy Express - Jungle The Black
4. Crying Nut - Speed Up Losers (1996)
5. Seoulmoon - Last Summer
6. Sunwoojunga (SWJA) - It Rains",
AfricanSanctus,1529542921355157505,2022-05-25 19:20:24+00:00,en,0,1,0,0,Click the link to find out more about David’s incredible music archive: https://t.co/AECveX1MIW https://t.co/kj0t5zlx3H,"https://www.fanshawemusic.com/music-archive, https://www.facebook.com/100065134135070/posts/pfbid02yeD6aFda3Foj3fMgeYbvrzXEW5eToAyAWJvC2YT5tut8mKL5Lp3FLHVWyawrNU1Jl/?d=n"
RadioSparx,1529521732620537858,2022-05-25 17:56:12+00:00,en,0,1,0,0,"We're gonna ROCK YOUR WORLD with our new ""ROWDY ROCK BAR"" ​station, offering head-bobbing tracks like ""I GOT HER"" by Dutch #composer BENNY LAVA: https://t.co/JbdM47G6uq. https://t.co/bHD9d9op84",https://www.radiosparx.com/music/archive/Indie-Rock/Alternative-Dance/I-Got-Her/754600
RadioSparx,1529480377106145283,2022-05-25 15:11:52+00:00,en,0,1,0,0,"Our newest TRIBUTE station, ""FKA TWIGS TRIBUTE,"" born of BIG LOVE for the SENSATIONAL UK Popstar FKA Twigs, offers HOT tracks like @tiffanyhoughton's sexy #DancePop song ""SPECTRUM"": https://t.co/YyfZlWSmhN. https://t.co/Jwu0o5bqLw",https://www.radiosparx.com/music/archive/Dance/Dance-Pop/Spectrum/1025857
dayo1p,1529447717193363456,2022-05-25 13:02:06+00:00,en,0,0,0,0,my music archive is insane walahi,
kilonova_,1529381202540449792,2022-05-25 08:37:47+00:00,en,1,0,0,0,shazam needs to expand their chn music archive cuz it can never pick up the songs i hear on stream,
ThoughtsByJae,1529185586338316289,2022-05-24 19:40:29+00:00,en,0,0,0,0,"Black Music Archive's ""Explained"" series&gt;&gt;&gt;&gt;&gt;&gt;&gt;",
MusicXango,1529114519506665473,2022-05-24 14:58:05+00:00,en,1,0,0,0,"Xango Music, since 1997! Local music from all over the world!! 
On the picture a part of the Xango Music warehouse!!!
There is so much music out there that needs to be heard, that we will keep on looking for new gems!
(photo Xango Music archive) https://t.co/HjdPXgbQ6d",
HelloKennedi,1529100141663240194,2022-05-24 14:00:57+00:00,en,1,0,0,0,Black Music Archive is my favorite YouTube channel.,
LangaMav,1529080644084670466,2022-05-24 12:43:29+00:00,en,88,1,0,15,Ntate Caiphus Semenya has one of greatest catalogs in our country’s music archive.,
freemusicarchiv,1529039774769618946,2022-05-24 10:01:05+00:00,en,0,0,1,0,Let’s get together: Free Music Archive is organizing a new event and you are invited! https://t.co/KCmM3Z044X,https://www.eventbrite.com/e/thunderboom-records-community-call-by-fma-tickets-347850198307?ref=estw
lavsunrise,1528960768321892352,2022-05-24 04:47:08+00:00,en,0,0,1,0,"@TwiPaladin I mean, the backup I have of the mlp music archive
plus a couple of other songs I thought to be lost",
HustleBoiMuzik,1528908420530700288,2022-05-24 01:19:07+00:00,en,0,0,0,0,Black Music Archive Live Masterclass https://t.co/S4b7aqBpkc via @YouTube,https://youtu.be/a8oGev7xdPk
Missskitttin,1528841261783949321,2022-05-23 20:52:15+00:00,en,0,0,0,0,"So I love every song by Ricky Montgomery... @rohmontgomery 
 I have an excellent music archive #curator @KabochaWhat https://t.co/JExhbSZ71F",
RadioSparx,1528837539129335810,2022-05-23 20:37:28+00:00,en,0,1,0,0,"We're kicking off #NewMusicMonday in a MELLOW mood with our new ""SOFT ROCK INSTRUMENTAL"" ​station, offering ​easygoing ​tracks like ""MORNING COFFEE"" by Connecticut #composer ERIC KENNETH: ​​https://t.co/sng2m2Uu4Y. https://t.co/of8MnwNTCA",https://www.radiosparx.com/music/archive/Rock/Soft-Rock/Morning-Coffee/902571
lavsunrise,1528790925983395841,2022-05-23 17:32:14+00:00,en,2,0,3,0,"oh my god I found it

I found the 2012 / 2013 mlp music archive",
italeoo,1528769539571388418,2022-05-23 16:07:16+00:00,en,2,0,1,0,rebuilt 1/3 of my music archive. all is not lost,
fogelnet,1528754564911878144,2022-05-23 15:07:45+00:00,en,0,0,0,0,"Grateful Dead from Sun, May 23, 1982 at Greek Theatre - University of California on Live Music Archive! https://t.co/9LoW5JPI2E",https://livemusicarchive.app/music/artists/GratefulDead/recordings/gd82-05-23.sbd.gorinsky.5058.sbeok.shnf
HitsLocker,1528747570553671680,2022-05-23 14:39:58+00:00,en,4,0,0,1,@TheFutureHeart Not sure how Bandcamp got grouped in with those others but the answer is the Live Music Archive,
SanukiArchive,1528613636956049408,2022-05-23 05:47:45+00:00,ja,11,0,0,4,"SANUKI MUSIC ARCHIVE5月後半分CM
テレビ放送：ケーブルメディア四国（CMS）
ネット配信：https://t.co/L209Otd1Iz

#サヌキロックコロシアム
#本多春奈
#下舞春希
#古墳シスターズ
#longman
#コザック前田 https://t.co/02CgFRR3L1",https://youtu.be/YG9wSjHrTYA
M_A_Frasca,1528519102028992513,2022-05-22 23:32:07+00:00,en,1,0,0,0,Playing some after-show gowf at nearby Madison Golf Course. I’ll post the Dave and Rob show to the Live Music Archive tomorrow,
italeoo,1528484729443569670,2022-05-22 21:15:32+00:00,en,8,0,2,0,rebuilding my music archive tn,
thebradking,1528458243051241472,2022-05-22 19:30:17+00:00,en,1,0,0,0,"I don't know why the internet underground music archive (IUMA) crossed my mind today, but damn I miss writing about entertainment, technology, and society.

You kids don't know how good you got it 

https://t.co/9XlYwFBAwD",https://www.wired.com/2001/02/music-archive-going-silent/amp
dose_everybody,1528372034744598529,2022-05-22 13:47:43+00:00,en,0,0,0,0,"Switching it up this morning for a little Derek Trucks slide shred &amp; the wonderful Susan Tedeschi 

Check out this show by Tedeschi Trucks Band from Fri, Oct 1, 2010 at Voodoo Lounge in Harrah's Casino on Live Music Archive! https://t.co/d6Cakskfxs",https://livemusicarchive.app/music/artists/TedeschiTrucksBand/recordings/ttb2010-10-01.AKG461
ohka_madhatter,1528298328512876544,2022-05-22 08:54:50+00:00,ja,3,0,1,0,"24 : サジタリウス
あらいぐまファクトリー / 劇場版　魔法少女メディスン・メランコリー music archive

25 : Piece of clown
AbsoЯute Zero / Trident World

26 : 上書き保存の記憶喪失
天秤亭 / Imaginary Holic

27 : 厄ぽい伝説★
Liz Triangle / 六畳半

28 : B・E・E・R
IOSYS / 東方真華神祭",
