user,tweet id,created_at,lang,like_count,quote_count,reply_count,retweet_count,tweet,URL
rHalfLife,1532870620542816262,2022-06-03 23:43:29+00:00,en,0,0,0,0,Joel Nielsen utilizes his wife in every audio file he makes #HalfLife https://t.co/yv0GlIZBey,https://ift.tt/E0OaKmC
Pangas82065986,1532857900942733318,2022-06-03 22:52:57+00:00,en,0,0,0,0,@Thafnine What does the audio file sound like?,
sdnet,1532857401300373510,2022-06-03 22:50:58+00:00,en,0,0,0,0,"Audio Archive: Listen to today's SD Game, Fish, and Parks meeting audio file https://t.co/2yqZBy0Vge https://t.co/9aO4vLgNFj",https://www.sd.net/blogs/archive/6232022-sd-game-fish-and-parks/
rstephens,1532855142059454470,2022-06-03 22:41:59+00:00,en,1,0,1,0,"@rklau @dickc @steveobd @elunt @shobe @Brent_Hill I'm just impressed the link works, including the audio file!",
SasukeU80023496,1532853368728739840,2022-06-03 22:34:56+00:00,en,0,0,1,0,@JeccaGaerts @rabiasquared Where is the audio file itself?,
Cellrayy,1532851550984585216,2022-06-03 22:27:43+00:00,en,45,0,0,11,"Cellbots will get a pretty fun video file designed for them specifically.

A reinforcement audio file loop will be provided to keep their conditioning embedded deep in their heads.

Maybe they'll get a reinforcement session every now and then, too.",
simplyhankering,1532843660978659329,2022-06-03 21:56:22+00:00,en,2,0,1,0,@MaxKnoblauch Did they do the thing where they reconstructed his voice too? And could u maybe share the audio file,
Forbes_Carbines,1532842926664974336,2022-06-03 21:53:27+00:00,en,0,0,0,0,@ANNVYSHINSKY would you be able to translate a 1-minute audio file from Russian to English for me please? ,
SasukeU80023496,1532842565770387456,2022-06-03 21:52:01+00:00,en,0,0,0,0,@JeccaGaerts @rabiasquared Plus where is the audio file?,
AbdulRaheemAd,1532840137482244096,2022-06-03 21:42:22+00:00,en,0,0,0,0,"So I sent a voice note on slack and automatically got a sentence by sentence transcript of the audio file.

Impressive.",
JayEliMaurice,1532838092096290818,2022-06-03 21:34:14+00:00,en,6,0,0,0,"- For anyone wondering, the song genre is hard rock.

- I'll be giving full credit to everyone who participates, just include your handle in the email if you want to be named.

- Doesn't matter if it's an audio file, or a video file. I can convert it, so don't worry about that.",
MabienNicholas,1532834632638648322,2022-06-03 21:20:29+00:00,en,0,0,0,0,Yes it is when people went to do stupid shit they would play the instrument and the Audio file so you could hear it in their videos.,
icedManuel,1532829820421275648,2022-06-03 21:01:22+00:00,en,1,0,1,0,@XavierDarkstar @TranshumanistG @scorn_game Certainly the idea of someone abducted was the very first i thought of. The audio file heard in the pulse 2.0 (i think) made me think at first about someone ending up in a very bad situation like that. Maybe abductees end up in a transformation process through the flesh wall,
MabienNicholas,1532827795457548289,2022-06-03 20:53:19+00:00,en,0,0,0,0,They saying they got caught you can hear the fool talking when I his solo on that audio file.,
HyperionPodcast,1532825922478424064,2022-06-03 20:45:53+00:00,en,5,0,2,0,There’s still time to join in on our 4th anniversary celebration episode. Just comment with anything you’d like to say or send us a video or audio file at hyperionadventurespodcast@gmail.com. We’d really love for you to be a part of the fun. Thank you so much! https://t.co/oBYRDNvULl,
MabienNicholas,1532825510228725761,2022-06-03 20:44:14+00:00,en,0,0,0,0,That's the audio file from when Justin Perkins was in High School why do they have that shit. That's back when Matt was a substitute teacher at Selma High.,
jonzmannn,1532815793960124416,2022-06-03 20:05:38+00:00,en,1,0,1,0,"@wxmxi It’s dual audio guy, use VLC and change the audio file",
rareb134,1532813807793348608,2022-06-03 19:57:44+00:00,en,3,0,1,0,@StupidGoatMan gonk can u make a chart with no audio file and i have to makea song based on it,
egbertBioIogist,1532813135085719553,2022-06-03 19:55:04+00:00,en,1,0,1,0,@anautoresponder &gt; June is in stitches and accidentally sends an audio file of her giggling.,
greenethumbz,1532807174027624448,2022-06-03 19:31:23+00:00,en,0,0,1,0,"@KhaliaBraswell Make sure you are signed into same account on all devices. Last night it actually continued played the video version of a audio file when I switched to my Mac.

I have like 3 gmail accounts so in past they wouldn’t talk.",
koiclearwater,1532796773466624002,2022-06-03 18:50:03+00:00,en,1,0,1,0,I was this day old when I learned to never record an hour-long audio file without a drink or piece of candy next to me.,
eshaysaway,1532793941703245824,2022-06-03 18:38:48+00:00,en,2,0,0,0,@Stray_Kids drop the audio file bb no proofs = didn't happen,
axineton333,1532776135053889536,2022-06-03 17:28:02+00:00,en,0,0,0,0,"@ViciousFGC Any chance you could read the urban dictionary and post the audio file for the nodding community? Only good things can happen, right? Congratulations also. Can't wait to hear you on an arcade cabinet",
timfrances,1532774691999567872,2022-06-03 17:22:18+00:00,en,4,1,2,1,"@CSimonWrites
@TheInsatiCritic with thanks to you both. Deeply gratified to get an Earphones Award from Audio File Magazine for the glorious ""Patron Saint of Second Chances""
https://t.co/67NCNQzfVg",https://www.facebook.com/778913628806982/posts/pfbid0dVffFkYRzRYpUoN7oFVhYTcnkVVpZkJcaK8EVABGeUmgSzSWUbeELsdc9gkrC5tZl/?sfnsn=scwspmo
eshap,1532772853216575489,2022-06-03 17:15:00+00:00,en,6,0,1,0,"The Audio File. 

Explained here:
https://t.co/NpLMwD3UEK https://t.co/CA4M4n09lG",https://eshap.substack.com/p/streaming-wars-ii
soundnvision,1532756591312764928,2022-06-03 16:10:23+00:00,en,6,0,0,0,"In this week's installment of Spatial Audio File, Lady Gaga takes our breath away in the expansive Atmos mix of ""Hold My Hand,"" her contribution to the blockbuster soundtrack of Top Gun: Maverick. And that's just the start... https://t.co/MkALimvbto https://t.co/sqyQw2fBPj",http://bit.ly/3mhKIXO
ricketyoldshack,1532746793267740675,2022-06-03 15:31:27+00:00,en,1,0,0,0,@1mikewa I'm just going to bookmark the Wikipedia article on whooping cough and play the audio file for the real persistent dumbasses.,
