user,tweet id,created_at,lang,like_count,quote_count,reply_count,retweet_count,tweet,URL
RadioSparx,1532464489450422272,2022-06-02 20:49:40+00:00,es,0,1,0,0,"Pack your bags for DESTINATION CANCÚN with our stylish new ""CAFÉ CANCÚN"" station, offering CHILLED tracks like “MÁS QUE AMIGOS” by ED NAPOLI: https://t.co/Mi93R9b8zy. https://t.co/0TWoKtnLRa",https://www.radiosparx.com/music/archive/Dance/Dance-Pop/M-s-que-amigos/922830
Toluspinnn,1532402541530599424,2022-06-02 16:43:31+00:00,en,6,0,2,4,Putting your whole music archive on shuffle &gt;&gt;&gt;,
HubSpotFrance,1532346722445365248,2022-06-02 13:01:42+00:00,fr,5,0,0,3," sites de musique libre de droits pour le montage #vidéo : 

 FilmMusic (Incompetech)
 Bibliothèque audio YouTube
 Bensound
 Free Music Archive
 PublicDomain4u
 FreePD
 Fugue
 AudioJungle
 Jamendo

Source : https://t.co/Wce2bLmVTp",https://blog.hubspot.fr/marketing/musique-libre-de-droit
mei_mei_ty,1532151998417883136,2022-06-02 00:07:57+00:00,ja,16,0,1,2,"空想委員会 
アコースティックライブ

SANUKI MUSIC ARCHIVE
@YouTube にて配信されています♬♡

『空想委員会と春のカレー祭り in SUMUS Cafe』
https://t.co/AaRY9alUC6

 #空想委員会
 #YouTube",https://youtu.be/AXNREg5MwSI
k_popjourney,1532090378274357249,2022-06-01 20:03:05+00:00,de,1,1,2,0,"&lt; Playlist: SB6 E03 - 1 Jun 2022 &gt; (K-Pop x Western Classical Music) - Archive Show
1. GFRIEND - Summer Rain [Robert Schumann - Dichterliebe (A Poet's Love), Op. 48: 1. Im wunderschönen Monat Mai (In Beautiful May)]",
fogelnet,1532000017396879362,2022-06-01 14:04:01+00:00,en,0,0,0,0,"Grateful Dead from Sat, Jun 1, 1991 at Los Angeles Coliseum on Live Music Archive! https://t.co/UDzGQ1ouSV",https://livemusicarchive.app/music/artists/GratefulDead/recordings/gd91-06-01.sbd.barbella.6020.sbeok.shnf
elmolideteulada,1531999049963999237,2022-06-01 14:00:11+00:00,en,0,0,0,0,ThankX @CANFALIma for making known the history of music of 'el molí de Teulada' - of unquestionable heritage &amp; cultural value. Music archive that is made available for university &amp; conservatory studies to carry out a doctoral thesis or quality work #teulada #altea #music https://t.co/xybuWQ1LOx,
ace_midlands,1531960006098268162,2022-06-01 11:25:02+00:00,en,20,0,1,6,"Ghost in the Ruins @CovCathedral was packed with choral music, archive imagery and poetry. 
Commissioned by @CovCathedral &amp; @Coventry2021, it was created by @thenitinsawhney working with the people of Coventry.

Watch on @BBC 4 &amp; @BBCiPlayer: https://t.co/x9Xmhi6rKW https://t.co/EeX6fOEIPl",https://buff.ly/3lNETkO
Yoruba_Aboki,1531896386224107520,2022-06-01 07:12:14+00:00,en,1,0,0,0,"@ElectricsVibe Is locked in some music archive now, only God knows when he go release.
He is fucking stringy with songs",
MusicOnlyus,1531861842892574720,2022-06-01 04:54:58+00:00,en,0,0,0,0,"They have to go back to the 80s for music… yes!

Check out Music Archive's video! #TikTok https://t.co/uAdgGCTSUR!",https://www.tiktok.com/t/ZTd73DDB2/?k=1
